site,S,R_500,R_1000,R_1500,R_2000,R_2500,R_3000,R_3500,R_4000,R_4500,R_5000
1,13,0.0221,0.0122,0.0214,0.0218,0.0171,0.0345,0.0812,0.1885,0.0679,0.0245
1,12,0.0221,0.0122,0.0214,0.0218,0.0171,0.0345,0.0812,0.1885,0.0679,0.0245
1,13,0.0221,0.0122,0.0214,0.0218,0.0171,0.0345,0.0812,0.1885,0.0679,0.0245
1,11,0.0221,0.0122,0.0214,0.0218,0.0171,0.0345,0.0812,0.1885,0.0679,0.0245
1,10,0.0221,0.0122,0.0214,0.0218,0.0171,0.0345,0.0812,0.1885,0.0679,0.0245
1,15,0.0221,0.0122,0.0214,0.0218,0.0171,0.0345,0.0812,0.1885,0.0679,0.0245
1,10,0.0221,0.0122,0.0214,0.0218,0.0171,0.0345,0.0812,0.1885,0.0679,0.0245
1,13,0.0221,0.0122,0.0214,0.0218,0.0171,0.0345,0.0812,0.1885,0.0679,0.0245
1,16,0.0221,0.0122,0.0214,0.0218,0.0171,0.0345,0.0812,0.1885,0.0679,0.0245
1,15,0.0221,0.0122,0.0214,0.0218,0.0171,0.0345,0.0812,0.1885,0.0679,0.0245
2,3,0.01,0.02,0.03,0.02,0.01,0.04,0.02,0.0236,0.02,0.01
2,1,0.01,0.02,0.03,0.02,0.01,0.04,0.02,0.0236,0.02,0.01
2,5,0.01,0.02,0.03,0.02,0.01,0.04,0.02,0.0236,0.02,0.01
2,0,0.01,0.02,0.03,0.02,0.01,0.04,0.02,0.0236,0.02,0.01
2,8,0.01,0.02,0.03,0.02,0.01,0.04,0.02,0.0236,0.02,0.01
2,5,0.01,0.02,0.03,0.02,0.01,0.04,0.02,0.0236,0.02,0.01
2,7,0.01,0.02,0.03,0.02,0.01,0.04,0.02,0.0236,0.02,0.01
2,5,0.01,0.02,0.03,0.02,0.01,0.04,0.02,0.0236,0.02,0.01
2,6,0.01,0.02,0.03,0.02,0.01,0.04,0.02,0.0236,0.02,0.01
2,3,0.01,0.02,0.03,0.02,0.01,0.04,0.02,0.0236,0.02,0.01
3,31,0.0908,0.077,0.0911,0.0865,0.076,0.1297,0.2333,0.424,0.1973,0.0919
3,20,0.0908,0.077,0.0911,0.0865,0.076,0.1297,0.2333,0.424,0.1973,0.0919
3,17,0.0908,0.077,0.0911,0.0865,0.076,0.1297,0.2333,0.424,0.1973,0.0919
3,24,0.0908,0.077,0.0911,0.0865,0.076,0.1297,0.2333,0.424,0.1973,0.0919
3,28,0.0908,0.077,0.0911,0.0865,0.076,0.1297,0.2333,0.424,0.1973,0.0919
3,27,0.0908,0.077,0.0911,0.0865,0.076,0.1297,0.2333,0.424,0.1973,0.0919
3,25,0.0908,0.077,0.0911,0.0865,0.076,0.1297,0.2333,0.424,0.1973,0.0919
3,26,0.0908,0.077,0.0911,0.0865,0.076,0.1297,0.2333,0.424,0.1973,0.0919
3,26,0.0908,0.077,0.0911,0.0865,0.076,0.1297,0.2333,0.424,0.1973,0.0919
3,19,0.0908,0.077,0.0911,0.0865,0.076,0.1297,0.2333,0.424,0.1973,0.0919
4,22,0.0762,0.0708,0.0772,0.0719,0.0651,0.1061,0.1731,0.2968,0.1472,0.0752
4,23,0.0762,0.0708,0.0772,0.0719,0.0651,0.1061,0.1731,0.2968,0.1472,0.0752
4,16,0.0762,0.0708,0.0772,0.0719,0.0651,0.1061,0.1731,0.2968,0.1472,0.0752
4,14,0.0762,0.0708,0.0772,0.0719,0.0651,0.1061,0.1731,0.2968,0.1472,0.0752
4,17,0.0762,0.0708,0.0772,0.0719,0.0651,0.1061,0.1731,0.2968,0.1472,0.0752
4,16,0.0762,0.0708,0.0772,0.0719,0.0651,0.1061,0.1731,0.2968,0.1472,0.0752
4,20,0.0762,0.0708,0.0772,0.0719,0.0651,0.1061,0.1731,0.2968,0.1472,0.0752
4,13,0.0762,0.0708,0.0772,0.0719,0.0651,0.1061,0.1731,0.2968,0.1472,0.0752
4,17,0.0762,0.0708,0.0772,0.0719,0.0651,0.1061,0.1731,0.2968,0.1472,0.0752
4,20,0.0762,0.0708,0.0772,0.0719,0.0651,0.1061,0.1731,0.2968,0.1472,0.0752
5,1,0.0277,0.0378,0.0295,0.0249,0.0262,0.0333,0.0185,0.02,0.0174,0.0236
5,5,0.0277,0.0378,0.0295,0.0249,0.0262,0.0333,0.0185,0.02,0.0174,0.0236
5,4,0.0277,0.0378,0.0295,0.0249,0.0262,0.0333,0.0185,0.02,0.0174,0.0236
5,1,0.0277,0.0378,0.0295,0.0249,0.0262,0.0333,0.0185,0.02,0.0174,0.0236
5,1,0.0277,0.0378,0.0295,0.0249,0.0262,0.0333,0.0185,0.02,0.0174,0.0236
5,4,0.0277,0.0378,0.0295,0.0249,0.0262,0.0333,0.0185,0.02,0.0174,0.0236
5,1,0.0277,0.0378,0.0295,0.0249,0.0262,0.0333,0.0185,0.02,0.0174,0.0236
5,1,0.0277,0.0378,0.0295,0.0249,0.0262,0.0333,0.0185,0.02,0.0174,0.0236
5,3,0.0277,0.0378,0.0295,0.0249,0.0262,0.0333,0.0185,0.02,0.0174,0.0236
5,4,0.0277,0.0378,0.0295,0.0249,0.0262,0.0333,0.0185,0.02,0.0174,0.0236
6,24,0.1223,0.1178,0.1244,0.115,0.1053,0.1684,0.2624,0.4193,0.2236,0.1194
6,32,0.1223,0.1178,0.1244,0.115,0.1053,0.1684,0.2624,0.4193,0.2236,0.1194
6,22,0.1223,0.1178,0.1244,0.115,0.1053,0.1684,0.2624,0.4193,0.2236,0.1194
6,18,0.1223,0.1178,0.1244,0.115,0.1053,0.1684,0.2624,0.4193,0.2236,0.1194
6,22,0.1223,0.1178,0.1244,0.115,0.1053,0.1684,0.2624,0.4193,0.2236,0.1194
6,18,0.1223,0.1178,0.1244,0.115,0.1053,0.1684,0.2624,0.4193,0.2236,0.1194
6,36,0.1223,0.1178,0.1244,0.115,0.1053,0.1684,0.2624,0.4193,0.2236,0.1194
6,31,0.1223,0.1178,0.1244,0.115,0.1053,0.1684,0.2624,0.4193,0.2236,0.1194
6,23,0.1223,0.1178,0.1244,0.115,0.1053,0.1684,0.2624,0.4193,0.2236,0.1194
6,22,0.1223,0.1178,0.1244,0.115,0.1053,0.1684,0.2624,0.4193,0.2236,0.1194
7,16,0.1039,0.1086,0.1067,0.0968,0.0913,0.1394,0.1917,0.2732,0.1646,0.0988
7,12,0.1039,0.1086,0.1067,0.0968,0.0913,0.1394,0.1917,0.2732,0.1646,0.0988
7,16,0.1039,0.1086,0.1067,0.0968,0.0913,0.1394,0.1917,0.2732,0.1646,0.0988
7,8,0.1039,0.1086,0.1067,0.0968,0.0913,0.1394,0.1917,0.2732,0.1646,0.0988
7,10,0.1039,0.1086,0.1067,0.0968,0.0913,0.1394,0.1917,0.2732,0.1646,0.0988
7,17,0.1039,0.1086,0.1067,0.0968,0.0913,0.1394,0.1917,0.2732,0.1646,0.0988
7,18,0.1039,0.1086,0.1067,0.0968,0.0913,0.1394,0.1917,0.2732,0.1646,0.0988
7,18,0.1039,0.1086,0.1067,0.0968,0.0913,0.1394,0.1917,0.2732,0.1646,0.0988
7,20,0.1039,0.1086,0.1067,0.0968,0.0913,0.1394,0.1917,0.2732,0.1646,0.0988
7,15,0.1039,0.1086,0.1067,0.0968,0.0913,0.1394,0.1917,0.2732,0.1646,0.0988
8,5,0.0705,0.0876,0.0741,0.0642,0.0649,0.0885,0.079,0.0518,0.0702,0.0627
8,5,0.0705,0.0876,0.0741,0.0642,0.0649,0.0885,0.079,0.0518,0.0702,0.0627
8,8,0.0705,0.0876,0.0741,0.0642,0.0649,0.0885,0.079,0.0518,0.0702,0.0627
8,4,0.0705,0.0876,0.0741,0.0642,0.0649,0.0885,0.079,0.0518,0.0702,0.0627
8,7,0.0705,0.0876,0.0741,0.0642,0.0649,0.0885,0.079,0.0518,0.0702,0.0627
8,5,0.0705,0.0876,0.0741,0.0642,0.0649,0.0885,0.079,0.0518,0.0702,0.0627
8,4,0.0705,0.0876,0.0741,0.0642,0.0649,0.0885,0.079,0.0518,0.0702,0.0627
8,3,0.0705,0.0876,0.0741,0.0642,0.0649,0.0885,0.079,0.0518,0.0702,0.0627
8,6,0.0705,0.0876,0.0741,0.0642,0.0649,0.0885,0.079,0.0518,0.0702,0.0627
8,8,0.0705,0.0876,0.0741,0.0642,0.0649,0.0885,0.079,0.0518,0.0702,0.0627
9,25,0.1613,0.1646,0.1652,0.1507,0.1409,0.2182,0.3124,0.4522,0.2676,0.1546
9,23,0.1613,0.1646,0.1652,0.1507,0.1409,0.2182,0.3124,0.4522,0.2676,0.1546
9,22,0.1613,0.1646,0.1652,0.1507,0.1409,0.2182,0.3124,0.4522,0.2676,0.1546
9,31,0.1613,0.1646,0.1652,0.1507,0.1409,0.2182,0.3124,0.4522,0.2676,0.1546
9,20,0.1613,0.1646,0.1652,0.1507,0.1409,0.2182,0.3124,0.4522,0.2676,0.1546
9,24,0.1613,0.1646,0.1652,0.1507,0.1409,0.2182,0.3124,0.4522,0.2676,0.1546
9,11,0.1613,0.1646,0.1652,0.1507,0.1409,0.2182,0.3124,0.4522,0.2676,0.1546
9,29,0.1613,0.1646,0.1652,0.1507,0.1409,0.2182,0.3124,0.4522,0.2676,0.1546
9,26,0.1613,0.1646,0.1652,0.1507,0.1409,0.2182,0.3124,0.4522,0.2676,0.1546
9,32,0.1613,0.1646,0.1652,0.1507,0.1409,0.2182,0.3124,0.4522,0.2676,0.1546
10,13,0.1241,0.1405,0.1288,0.1145,0.1114,0.1617,0.1893,0.2119,0.1644,0.1146
10,15,0.1241,0.1405,0.1288,0.1145,0.1114,0.1617,0.1893,0.2119,0.1644,0.1146
10,10,0.1241,0.1405,0.1288,0.1145,0.1114,0.1617,0.1893,0.2119,0.1644,0.1146
10,14,0.1241,0.1405,0.1288,0.1145,0.1114,0.1617,0.1893,0.2119,0.1644,0.1146
10,9,0.1241,0.1405,0.1288,0.1145,0.1114,0.1617,0.1893,0.2119,0.1644,0.1146
10,11,0.1241,0.1405,0.1288,0.1145,0.1114,0.1617,0.1893,0.2119,0.1644,0.1146
10,13,0.1241,0.1405,0.1288,0.1145,0.1114,0.1617,0.1893,0.2119,0.1644,0.1146
10,12,0.1241,0.1405,0.1288,0.1145,0.1114,0.1617,0.1893,0.2119,0.1644,0.1146
10,20,0.1241,0.1405,0.1288,0.1145,0.1114,0.1617,0.1893,0.2119,0.1644,0.1146
10,13,0.1241,0.1405,0.1288,0.1145,0.1114,0.1617,0.1893,0.2119,0.1644,0.1146
11,11,0.117,0.1403,0.1224,0.1071,0.1067,0.1491,0.15,0.1224,0.1319,0.1057
11,4,0.117,0.1403,0.1224,0.1071,0.1067,0.1491,0.15,0.1224,0.1319,0.1057
11,8,0.117,0.1403,0.1224,0.1071,0.1067,0.1491,0.15,0.1224,0.1319,0.1057
11,13,0.117,0.1403,0.1224,0.1071,0.1067,0.1491,0.15,0.1224,0.1319,0.1057
11,7,0.117,0.1403,0.1224,0.1071,0.1067,0.1491,0.15,0.1224,0.1319,0.1057
11,7,0.117,0.1403,0.1224,0.1071,0.1067,0.1491,0.15,0.1224,0.1319,0.1057
11,9,0.117,0.1403,0.1224,0.1071,0.1067,0.1491,0.15,0.1224,0.1319,0.1057
11,13,0.117,0.1403,0.1224,0.1071,0.1067,0.1491,0.15,0.1224,0.1319,0.1057
11,15,0.117,0.1403,0.1224,0.1071,0.1067,0.1491,0.15,0.1224,0.1319,0.1057
11,11,0.117,0.1403,0.1224,0.1071,0.1067,0.1491,0.15,0.1224,0.1319,0.1057
12,31,0.2116,0.2203,0.2172,0.1973,0.1858,0.2843,0.3938,0.5416,0.338,0.2015
12,25,0.2116,0.2203,0.2172,0.1973,0.1858,0.2843,0.3938,0.5416,0.338,0.2015
12,36,0.2116,0.2203,0.2172,0.1973,0.1858,0.2843,0.3938,0.5416,0.338,0.2015
12,28,0.2116,0.2203,0.2172,0.1973,0.1858,0.2843,0.3938,0.5416,0.338,0.2015
12,30,0.2116,0.2203,0.2172,0.1973,0.1858,0.2843,0.3938,0.5416,0.338,0.2015
12,31,0.2116,0.2203,0.2172,0.1973,0.1858,0.2843,0.3938,0.5416,0.338,0.2015
12,23,0.2116,0.2203,0.2172,0.1973,0.1858,0.2843,0.3938,0.5416,0.338,0.2015
12,31,0.2116,0.2203,0.2172,0.1973,0.1858,0.2843,0.3938,0.5416,0.338,0.2015
12,19,0.2116,0.2203,0.2172,0.1973,0.1858,0.2843,0.3938,0.5416,0.338,0.2015
12,31,0.2116,0.2203,0.2172,0.1973,0.1858,0.2843,0.3938,0.5416,0.338,0.2015
13,20,0.1782,0.1992,0.1846,0.1646,0.1593,0.2333,0.2812,0.3202,0.2437,0.1654
13,14,0.1782,0.1992,0.1846,0.1646,0.1593,0.2333,0.2812,0.3202,0.2437,0.1654
13,18,0.1782,0.1992,0.1846,0.1646,0.1593,0.2333,0.2812,0.3202,0.2437,0.1654
13,20,0.1782,0.1992,0.1846,0.1646,0.1593,0.2333,0.2812,0.3202,0.2437,0.1654
13,17,0.1782,0.1992,0.1846,0.1646,0.1593,0.2333,0.2812,0.3202,0.2437,0.1654
13,9,0.1782,0.1992,0.1846,0.1646,0.1593,0.2333,0.2812,0.3202,0.2437,0.1654
13,18,0.1782,0.1992,0.1846,0.1646,0.1593,0.2333,0.2812,0.3202,0.2437,0.1654
13,28,0.1782,0.1992,0.1846,0.1646,0.1593,0.2333,0.2812,0.3202,0.2437,0.1654
13,24,0.1782,0.1992,0.1846,0.1646,0.1593,0.2333,0.2812,0.3202,0.2437,0.1654
13,25,0.1782,0.1992,0.1846,0.1646,0.1593,0.2333,0.2812,0.3202,0.2437,0.1654
14,5,0.141,0.1751,0.1482,0.1284,0.1298,0.1769,0.1581,0.0799,0.1405,0.1254
14,3,0.141,0.1751,0.1482,0.1284,0.1298,0.1769,0.1581,0.0799,0.1405,0.1254
14,7,0.141,0.1751,0.1482,0.1284,0.1298,0.1769,0.1581,0.0799,0.1405,0.1254
14,5,0.141,0.1751,0.1482,0.1284,0.1298,0.1769,0.1581,0.0799,0.1405,0.1254
14,5,0.141,0.1751,0.1482,0.1284,0.1298,0.1769,0.1581,0.0799,0.1405,0.1254
14,7,0.141,0.1751,0.1482,0.1284,0.1298,0.1769,0.1581,0.0799,0.1405,0.1254
14,5,0.141,0.1751,0.1482,0.1284,0.1298,0.1769,0.1581,0.0799,0.1405,0.1254
14,3,0.141,0.1751,0.1482,0.1284,0.1298,0.1769,0.1581,0.0799,0.1405,0.1254
14,6,0.141,0.1751,0.1482,0.1284,0.1298,0.1769,0.1581,0.0799,0.1405,0.1254
14,5,0.141,0.1751,0.1482,0.1284,0.1298,0.1769,0.1581,0.0799,0.1405,0.1254
15,30,0.228,0.2492,0.2355,0.2113,0.2027,0.3011,0.3809,0.4615,0.329,0.2135
