site	S	R_500	R_1000	R_1500	R_2000	R_2500	R_3000	R_3500	R_4000	R_4500	R_5000
1	18	0.02	0.01	0.01	0.05	0.14	0.14	0.11	0.08	0.07	0.07
1	6	0.02	0.01	0.01	0.05	0.14	0.14	0.11	0.08	0.07	0.07
1	14	0.02	0.01	0.01	0.05	0.14	0.14	0.11	0.08	0.07	0.07
1	8	0.02	0.01	0.01	0.05	0.14	0.14	0.11	0.08	0.07	0.07
1	11	0.02	0.01	0.01	0.05	0.14	0.14	0.11	0.08	0.07	0.07
1	12	0.02	0.01	0.01	0.05	0.14	0.14	0.11	0.08	0.07	0.07
1	14	0.02	0.01	0.01	0.05	0.14	0.14	0.11	0.08	0.07	0.07
1	6	0.02	0.01	0.01	0.05	0.14	0.14	0.11	0.08	0.07	0.07
1	6	0.02	0.01	0.01	0.05	0.14	0.14	0.11	0.08	0.07	0.07
1	10	0.02	0.01	0.01	0.05	0.14	0.14	0.11	0.08	0.07	0.07
2	0	0.02	0.01	0.01	0.02	0.04	0.01	0.03	0.01	0.01	0.01
2	2	0.02	0.01	0.01	0.02	0.04	0.01	0.03	0.01	0.01	0.01
2	2	0.02	0.01	0.01	0.02	0.04	0.01	0.03	0.01	0.01	0.01
2	1	0.02	0.01	0.01	0.02	0.04	0.01	0.03	0.01	0.01	0.01
2	1	0.02	0.01	0.01	0.02	0.04	0.01	0.03	0.01	0.01	0.01
2	1	0.02	0.01	0.01	0.02	0.04	0.01	0.03	0.01	0.01	0.01
2	1	0.02	0.01	0.01	0.02	0.04	0.01	0.03	0.01	0.01	0.01
2	2	0.02	0.01	0.01	0.02	0.04	0.01	0.03	0.01	0.01	0.01
2	2	0.02	0.01	0.01	0.02	0.04	0.01	0.03	0.01	0.01	0.01
2	0	0.02	0.01	0.01	0.02	0.04	0.01	0.03	0.01	0.01	0.01
3	37	0.07	0.03	0.05	0.18	0.37	0.39	0.31	0.23	0.22	0.23
