site S R_500 R_1000 R_1500 R_2000 R_2500 R_3000 R_3500 R_4000 R_4500 R_5000
1 1 18 0.00452805889151874 0 0.00171683323195443 0.0539108021547216 0.141300552178012 0.144755055301259 0.108138430346676 0.0781106556765301 0.0719472297684841 0.0715331309759572
2 1 6 0.00452805889151874 0 0.00171683323195443 0.0539108021547216 0.141300552178012 0.144755055301259 0.108138430346676 0.0781106556765301 0.0719472297684841 0.0715331309759572
3 1 14 0.00452805889151874 0 0.00171683323195443 0.0539108021547216 0.141300552178012 0.144755055301259 0.108138430346676 0.0781106556765301 0.0719472297684841 0.0715331309759572
4 1 8 0.00452805889151874 0 0.00171683323195443 0.0539108021547216 0.141300552178012 0.144755055301259 0.108138430346676 0.0781106556765301 0.0719472297684841 0.0715331309759572
5 1 11 0.00452805889151874 0 0.00171683323195443 0.0539108021547216 0.141300552178012 0.144755055301259 0.108138430346676 0.0781106556765301 0.0719472297684841 0.0715331309759572
6 1 12 0.00452805889151874 0 0.00171683323195443 0.0539108021547216 0.141300552178012 0.144755055301259 0.108138430346676 0.0781106556765301 0.0719472297684841 0.0715331309759572
7 1 14 0.00452805889151874 0 0.00171683323195443 0.0539108021547216 0.141300552178012 0.144755055301259 0.108138430346676 0.0781106556765301 0.0719472297684841 0.0715331309759572
8 1 6 0.00452805889151874 0 0.00171683323195443 0.0539108021547216 0.141300552178012 0.144755055301259 0.108138430346676 0.0781106556765301 0.0719472297684841 0.0715331309759572
9 1 6 0.00452805889151874 0 0.00171683323195443 0.0539108021547216 0.141300552178012 0.144755055301259 0.108138430346676 0.0781106556765301 0.0719472297684841 0.0715331309759572
10 1 10 0.00452805889151874 0 0.00171683323195443 0.0539108021547216 0.141300552178012 0.144755055301259 0.108138430346676 0.0781106556765301 0.0719472297684841 0.0715331309759572
11 2 0 0 0.0109706175333886 0 0 0 0 0 0 0 0
12 2 2 0 0.0109706175333886 0 0 0 0 0 0 0 0
13 2 2 0 0.0109706175333886 0 0 0 0 0 0 0 0
14 2 1 0 0.0109706175333886 0 0 0 0 0 0 0 0
15 2 1 0 0.0109706175333886 0 0 0 0 0 0 0 0
16 2 1 0 0.0109706175333886 0 0 0 0 0 0 0 0
17 2 1 0 0.0109706175333886 0 0 0 0 0 0 0 0
18 2 2 0 0.0109706175333886 0 0 0 0 0 0 0 0
19 2 2 0 0.0109706175333886 0 0 0 0 0 0 0 0
20 2 0 0 0.0109706175333886 0 0 0 0 0 0 0 0
21 3 37 0.0659268440506512 0.0260067627289086 0.0541365281182347 0.177349267867389 0.372751907673187 0.391015366126928 0.309616041346856 0.231445192001264 0.220978256135031 0.229086387484154
22 3 30 0.0659268440506512 0.0260067627289086 0.0541365281182347 0.177349267867389 0.372751907673187 0.391015366126928 0.309616041346856 0.231445192001264 0.220978256135031 0.229086387484154
23 3 15 0.0659268440506512 0.0260067627289086 0.0541365281182347 0.177349267867389 0.372751907673187 0.391015366126928 0.309616041346856 0.231445192001264 0.220978256135031 0.229086387484154
24 3 29 0.0659268440506512 0.0260067627289086 0.0541365281182347 0.177349267867389 0.372751907673187 0.391015366126928 0.309616041346856 0.231445192001264 0.220978256135031 0.229086387484154
25 3 32 0.0659268440506512 0.0260067627289086 0.0541365281182347 0.177349267867389 0.372751907673187 0.391015366126928 0.309616041346856 0.231445192001264 0.220978256135031 0.229086387484154
26 3 24 0.0659268440506512 0.0260067627289086 0.0541365281182347 0.177349267867389 0.372751907673187 0.391015366126928 0.309616041346856 0.231445192001264 0.220978256135031 0.229086387484154
27 3 26 0.0659268440506512 0.0260067627289086 0.0541365281182347 0.177349267867389 0.372751907673187 0.391015366126928 0.309616041346856 0.231445192001264 0.220978256135031 0.229086387484154
28 3 27 0.0659268440506512 0.0260067627289086 0.0541365281182347 0.177349267867389 0.372751907673187 0.391015366126928 0.309616041346856 0.231445192001264 0.220978256135031 0.229086387484154
29 3 25 0.0659268440506512 0.0260067627289086 0.0541365281182347 0.177349267867389 0.372751907673187 0.391015366126928 0.309616041346856 0.231445192001264 0.220978256135031 0.229086387484154
30 3 42 0.0659268440506512 0.0260067627289086 0.0541365281182347 0.177349267867389 0.372751907673187 0.391015366126928 0.309616041346856 0.231445192001264 0.220978256135031 0.229086387484154
31 4 14 0.0505595693218747 0.0363519144681224 0.0438268700631735 0.0878599934015732 0.152366361671914 0.163834092144409 0.137207692278099 0.105710559758919 0.103965566996775 0.111304099822025
32 4 14 0.0505595693218747 0.0363519144681224 0.0438268700631735 0.0878599934015732 0.152366361671914 0.163834092144409 0.137207692278099 0.105710559758919 0.103965566996775 0.111304099822025
