S R_500 R_1000 R_1500 R_2000 R_2500 R_3000 R_3500 R_4000 R_4500 R_5000
1 68 0.443449066739976 0.34855268393335 0.140678499521202 0.0563249178702401 0.0297386325547283 0.106151423187407 0.11268805805092 0.258984957225675 0.214505502764188 0.26317326767079
2 65 0.441402134276543 0.352273136422108 0.119814389317439 0.0385455691269797 0.0452885230339222 0.124433627096333 0.128226916121982 0.241331480691534 0.198921062827875 0.277726258532226
3 24 0.553227349346732 0.573022046050316 0.34086279624062 0.382275251177471 0.4438486306751 0.619168711039432 0.556974419192929 0.0862345912800114 0.096533326931604 0.737161673351354
4 43 0.485254436732257 0.45109444440571 0.107098283870843 0.166714800595833 0.237655763849989 0.361609773875945 0.33328721963248 0.0755350137548696 0.0499122040823359 0.494151155605706
5 39 0.486204139730236 0.46052617208235 0.139536422373403 0.195100503853862 0.263284870570288 0.392430211469982 0.359699989414066 0.0497259426039539 0.0269627654664652 0.520411578676555
6 83 0.343315340580485 0.195816690740739 0.383578797466305 0.28561880959698 0.194888402282444 0.178584567821249 0.135835002909466 0.415385413058179 0.35753326346933 0.0152847443044172
7 67 0.380224669115397 0.273783720671941 0.212252319378178 0.129956852161733 0.0483087006688867 0.00269467399410491 0.0210647073983991 0.291709206505978 0.246203840698775 0.151464865279388
8 74 0.348211382037854 0.220391421281898 0.307128492162387 0.218241048566153 0.13355097260074 0.104405458948065 0.0721355516357712 0.355611676139574 0.304269387558031 0.0489435340466947
9 50 0.409093794264055 0.344048652716142 0.0432097876838814 0.0222717449872392 0.0936624589416557 0.177179652348167 0.171755452356281 0.166690712653183 0.134019975351021 0.309352601305803
10 32 0.451996393721789 0.433438233023105 0.151264747001841 0.199146411452022 0.260400593037423 0.383535361533741 0.350402986085193 0.0267033168674344 0.00796055522135252 0.499517075308434
11 33 0.437962919412713 0.414313584760343 0.125832744010415 0.174500342136211 0.235633618552198 0.35166463070223 0.322446197314162 0.0416722188003875 0.0218361100032667 0.467240337332219
12 68 0.322043839415661 0.201005580109655 0.293116221140118 0.210761780681717 0.131826708130591 0.106506045423014 0.0752235896146602 0.333931337703649 0.286121619890118 0.0369109042359631
13 63 0.325990177875051 0.216148582974174 0.249104054338761 0.17176972290892 0.0961183851691862 0.0631473741438664 0.0379369081225509 0.299966671935959 0.255807182594691 0.0748787595162255
14 9 0.476771653943583 0.511144070044825 0.362035499103663 0.386933706087516 0.433471533606354 0.594584747705659 0.5321714471852 0.133622130053645 0.135392189999029 0.686510793057723
15 49 0.345869396639476 0.269279689454735 0.114783607540856 0.0513601893042525 0.0156151257180415 0.0737229031548667 0.0801321017037607 0.199414961933485 0.165718313285607 0.197644198914402
16 68 0.277896484025001 0.147352087810129 0.348548119910633 0.26692063988589 0.19057774110707 0.183836034008621 0.143555097856689 0.361184566968366 0.312163844299547 0.0453663188312463
17 61 0.287836093407214 0.17391764105041 0.281387896511681 0.206715873083557 0.134710985663456 0.115400895359254 0.0845205929435331 0.310908711967129 0.267119409645006 0.0160164008678421
18 65 0.264812712713905 0.137659167224008 0.341541984399499 0.263181005943673 0.189715608871995 0.184886327246095 0.145099116846134 0.350344397750404 0.303089960465591 0.0513826337366121
19 46 0.31071194763305 0.23276002271885 0.135493421414979 0.0756999849641213 0.0128982585351232 0.0340076156245891 0.0444223285933018 0.202201407347882 0.169665541656365 0.150489272475432
20 54 0.275702025094096 0.173656448140927 0.241943622497986 0.17459053588331 0.108219746708082 0.0856307510026909 0.0596518421513917 0.274259471598251 0.235096087195179 0.0362605090333258
