S R_500 R_1000 R_1500 R_2000 R_2500 R_3000 R_3500 R_4000 R_4500 R_5000
1 20 0.825812147931085 0.49895058405049 0.156347257584025 0.263603736433016 0.372106207641258 0.496623577140402 0.432337322608938 0.0633857091280706 0.0277659558011517 0.545443084675045
2 5 0.827907682376597 0.571439159439568 0.376333975565277 0.503313978542591 0.610996165129539 0.761215510591498 0.649315519962013 0.231008833597929 0.237387709616698 0.739457639276691
3 17 0.791661665289315 0.487613383151529 0.178543674081594 0.283903575729061 0.387776050817864 0.510457659563022 0.442636398612032 0.0223176399464351 0.00800063881437943 0.548030015450896
4 11 0.78097668255723 0.507997174648235 0.259271385574535 0.370573602864268 0.47262931770616 0.603266331520928 0.518395489730756 0.0895032306894437 0.10830739215884 0.613563843910062
5 5 0.770291699825144 0.528380966144942 0.339999097067476 0.457243629999475 0.557482584594456 0.696075003478834 0.59415458084948 0.201324101325322 0.208614145503301 0.679097672369228
6 22 0.726945395416974 0.415608087694473 0.0648426808680636 0.152810885533519 0.248686531060567 0.349882007176363 0.309020400480414 0.153432190046887 0.112354543117568 0.416291867353167
7 13 0.720520585077422 0.453360140488637 0.191990061190442 0.290494317660182 0.384885361482192 0.499951766298666 0.431852527010588 0.0192465712856986 0.0429011809180223 0.524652604526493
8 3 0.715515832202047 0.496901613715287 0.334610664455966 0.44518221811733 0.538199379748259 0.669108554475767 0.57037566534458 0.212211296183854 0.216473228517323 0.647288977937872
9 23 0.667909355401344 0.36676047396736 0.0130345794271162 0.089736068659918 0.178057762681042 0.2656544710089 0.238168449564063 0.203402885885063 0.159444430794676 0.341656264207651
10 12 0.664324659990147 0.416091367626496 0.171128405635786 0.261428437447552 0.348486968791552 0.4538982882408 0.392382599701872 0.00984780257866069 0.0324439403683345 0.478568273857084
11 7 0.652219619793884 0.430685738690717 0.236382894185581 0.331093996252273 0.416225047835406 0.527619931143907 0.452450679016778 0.10138270964897 0.114434370149085 0.529826466078197
12 29 0.601773028064826 0.288965758077818 0.11613963672956 0.0583610898661096 0.0218530550793024 0.0859917895674417 0.0888614396286282 0.354803399551085 0.298115936290334 0.195642479871868
13 17 0.599608390117806 0.34408607216944 0.0574274124222552 0.130335747252009 0.209397449034256 0.293322635854141 0.258766601570253 0.121266747521792 0.0879112415636132 0.346830125759354
14 5 0.597443752170786 0.399206386261062 0.230994461574071 0.319032584370129 0.396941842989209 0.500653482140841 0.428671763511878 0.112269904507502 0.122293453163107 0.498017771646841
15 29 0.544157045513373 0.245907564783191 0.152474515227362 0.104431438409225 0.0316605254557801 0.0208512824547774 0.0337005005160945 0.384488131823692 0.326889500403732 0.135282512964405
16 16 0.543412465030531 0.306817299307299 0.0365657568675993 0.101269867039379 0.172999056343616 0.247269157796276 0.219296674261536 0.130665516228829 0.098368482113301 0.300745795089945
17 3 0.542667884547688 0.367727033831407 0.225606028962561 0.306971172487984 0.377658638143012 0.473687033137774 0.404892848006978 0.123157099366033 0.130152536177129 0.466209077215485
18 21 0.497901522675341 0.249164734948452 0.0650236101799974 0.0144660403084578 0.0517473967646802 0.108407007780505 0.104067655834096 0.251885155571746 0.209132476007449 0.18912763596137
19 10 0.494316827264143 0.298495628607587 0.0930702160286723 0.157226328479176 0.222176602875191 0.296650825012405 0.258281805971904 0.038634467108022 0.0172441048444389 0.326039645610803
20 5 0.48221178706788 0.313089999671808 0.158324704578467 0.226891887283898 0.289914681919044 0.370372467915512 0.318349885286811 0.0529004399622876 0.0647463249363118 0.377297837831915
21 26 0.433185252803 0.177159439491395 0.178724603393528 0.145558730504 0.0873421229926166 0.0521686446061543 0.0295483422975223 0.382999705672198 0.329487657939397 0.0573894878636404
